"","online","SpokenFormal","SpokenInformal","WrittenFormal","WrittenInformal"
"online",0,0.375,0.5,0.5,0.5
"SpokenFormal",0.375,0,0.125,0.125,0.125
"SpokenInformal",0.5,0.125,0,0.25,0.25
"WrittenFormal",0.5,0.125,0.25,0,0
"WrittenInformal",0.5,0.125,0.25,0,0
