"","mtry","min.node.size","sample.fraction","auc","exec.time"
"online",2,2,0.56102338591182,0.921074640870666,0.792999999999817
"SpokenFormal",2,2,0.519738525817614,0.937277035781634,0.53766666666661
"SpokenInformal",2,5,0.359603604612461,0.936660659119722,0.519333333333179
"WrittenFormal",2,8,0.415770737525486,0.914521788341822,0.26166666666677
"WrittenInformal",3,3,0.230340218266402,0.898010949356881,0.505666666666684
