"","mtry","min.node.size","sample.fraction","auc","exec.time"
"online",2,191,0.804463727437976,0.751735214158971,0.402999999999996
"SpokenFormal",6,2,0.201138164641886,0.829772704514262,0.492166666666658
"SpokenInformal",7,2,0.25211438724708,0.815607124911215,1.11316666666665
"WrittenFormal",1,4,0.774419718695406,0.866756721906093,0.219833333333327
"WrittenInformal",3,10,0.203220203629883,0.817515890422086,0.399833333333333
