"","online","SpokenFormal","SpokenInformal","WrittenFormal","WrittenInformal"
"online",0,0,0.4,0.1,0.2
"SpokenFormal",0,0,0.4,0.1,0.2
"SpokenInformal",0.4,0.4,0,0.5,0.4
"WrittenFormal",0.1,0.1,0.5,0,0.1
"WrittenInformal",0.2,0.2,0.4,0.1,0
