"","mtry","min.node.size","sample.fraction","auc","exec.time"
"online",3,3,0.305780763737975,0.897651892967422,1.056
"SpokenFormal",3,2,0.293488498979911,0.8808911393479,0.527666666666657
"SpokenInformal",3,4,0.267894150729405,0.886750682554465,0.312333333333337
"WrittenFormal",3,2,0.311633566672315,0.903077236763724,0.59471428571432
"WrittenInformal",3,4,0.404491482619814,0.89576653656457,0.535499999999956
